"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"C_0805_2012Metric";2;"22p";;;
2;"C2,C4,C5,C6,C7,C8,C10,C13,C14,C15,C16,C17,C18";"C_0805_2012Metric";13;"100n";;;
3;"C9,C11,C12";"C_0805_2012Metric";3;"4u7";;;
4;"D1";"LED_1206_3216Metric";1;"LED";;;
5;"D2";"D_SOD-123";1;"D";;;
6;"J1";"PinHeader_1x04_P1.00mm_Vertical";1;"USB";;;
7;"J2";"PinHeader_1x03_P1.00mm_Vertical";1;"Servo";;;
8;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
9;"J4";"PinHeader_1x04_P1.00mm_Vertical";1;"GPS";;;
10;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Batt";;;
11;"R1,R2";"R_0805_2012Metric";2;"4k7";;;
12;"R3,R4,R8";"R_0805_2012Metric";3;"1k";;;
13;"R5";"R_0805_2012Metric";1;"470";;;
14;"R6,R9,R10,R11,R14";"R_0805_2012Metric";5;"10k";;;
15;"R7";"R_0805_2012Metric";1;"2k";;;
16;"R12,R13";"R_0805_2012Metric";2;"100k";;;
17;"TP1";"TestPoint_Pad_D2.0mm";1;"TX2";;;
18;"TP2";"TestPoint_Pad_D2.0mm";1;"RX2";;;
19;"TP3";"TestPoint_Pad_D2.0mm";1;"RX3";;;
20;"TP4";"TestPoint_Pad_D2.0mm";1;"TX3";;;
21;"TP5";"TestPoint_Pad_D2.0mm";1;"SCL1";;;
22;"TP6";"TestPoint_Pad_D2.0mm";1;"SDA1";;;
23;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
24;"U2";"ESP-12E";1;"ESP-12E";;;
25;"U3";"SOT-23-5";1;"MCP73831";;;
26;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"L78L33_SO8";;;
27;"U5";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
28;"U6";"LGA-12_2x2mm_P0.5mm";1;"LSM303C";;;
29;"8Mhz1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
30;"Q1";"BSS138";1;"Q_NMOS_DGS";;;
31;"Q2,Q3,Q4";"BSS138";3;"Q_PMOS_DGS";;;
